;0
make;0.0
address;0.0
all;0.0
3d;0.0
our;0.0
over;0.0
remove;0.0
internet;0.0
order;0.0
mail;0.0
receive;0.0
will;0.0
people;0.0
report;0.0
addresses;0.0
free;0.0
business;0.0
email;0.0
you;0.0
credit;0.0
your;0.0
font;0.0
000;0.0
money;0.0
hp;0.0
hpl;0.0
george;0.0
650;0.0
lab;0.0
labs;0.0
telnet;0.0
857;0.0
data;0.0
415;0.0
85;0.0
technology;0.0
1999;0.0
parts;0.0
pm;0.0
direct;0.0
cs;0.0
meeting;0.0
original;0.0
project;0.0
re;0.0
edu;0.0
table;0.0
conference;0.0
";";0.0
(;0.0
[;0.0
!;0.0
$;0.0
#;0.0
capital_run_length_average;1.0
capital_run_length_longest;1.0
capital_run_length_total;3.0
spa;0.0
